"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"PÕMV-010";"Lapsendamine";"http://polva.maavalitsus.ee/lapsendamine";"Põlva Maavalitsus";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"TMV-008";"Lapsendamine";"http://tartu.maavalitsus.ee/lapsendamine";"Tartu Maavalitsus";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"mta-243";"Tolliformaalsuste ja tolliprotseduuride teostamine";"http://www.emta.ee/et/toll-kaubavahetus";"Maksu- ja Tolliamet";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"STAT-004";"Konfidentsiaalsete andmete kasutamine teadustööks";"http://www.stat.ee/konfidentsiaalsete-andmete-kasutamine-turvalisel-tookohal";"Statistikaamet";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RTK-003";"Standardiseeritud finants-, personali- ja palgaarvestus alane aruandlus";"https://aruanded.fin.ee/";"Riigi Tugiteenuste Keskus";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"JÄMV-010";"Lapsendamine";"https://jarva.maavalitsus.ee/lapsendamine";"Järva Maavalitsus";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"RM-005";"Struktuuritoetuste rakendamine";"https://sfos.fin.ee";"Rahandusministeerium";"Rahandusministeeriumi haldusala";"pole";"vigane viide kanalile"
"TMV-005";"Surma registreerimine";"https://www.riigiteataja.ee/akt/121122010014,https://www.riigiteataja.ee/akt/128122010020,https://www.riigiteataja.ee/akt/109122010006";"Tartu Maavalitsus";"Rahandusministeeriumi haldusala";"";"vigane viide regulatsioonile"
