"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"PMA-001";"Mahepõllumajanduslik tootmine";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-004";"Seemnete sertifitseerimine ja kontroll";"https://portaal.agri.ee/epm-portal/et/home";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-009";"Maaparanduse kooskõlastused ja tõendusdokumendid";"https://portaal.agri.ee/epm-portal/et/kliendi_valik";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-015";"Väetise tootmine ja turustamine";"https://portaal.agri.ee/epm-portal/et/kliendi_valik";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-006";"Maaparandusehitiste rajamine";"https://portaal.agri.ee/epm-portal/et/kliendi_valik";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PMA-019";"Seemnekartuli tootmine ja turustamine";"https://portaal.agri.ee/epm-portal/et/kliendi_valik";"Põllumajandusamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
