"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"KURG-001";"Ekskursioon";"http://www.kurgja.ee/ekskursioonid.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-002";"Haridusprogramm";"http://www.kurgja.ee/haridusprogrammid.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-008";"Muuseumikogude kasutamine ja uurijate teenindamine.";"http://www.kurgja.ee/muuseumi_kogude_kasutamine_ja_uurijate_teenindamine.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-003";"Talukultuurikool";"http://www.kurgja.ee/talukultuuri_kool.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-007";"Telkimine";"http://www.kurgja.ee/telkimine_piknikud.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-006";"Toitlustamine";"http://www.kurgja.ee/toitlustamine.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"KURG-005";"Koosviibimiste korraldamine";"http://www.kurgja.ee/urituste_korraldamine.html";"C. R. Jakobsoni Talumuuseum";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
