"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"MAA-006";"X-GIS kaardiserver";"http://xgis.maaamet.ee/";"Maa-amet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"MAA-001";"Aadressiandmete süsteemi infosüsteem (ADS-i infosüsteem)";"http://xgis.maaamet.ee/adsavalik/";"Maa-amet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"MAA-030";"Keskkonnaministeeriumi riigivara arvestuse pidamise teenus";"http://xgis.maaamet.ee/KKMVara/kkmvara";"Maa-amet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"MAA-031";"Vahetamiste, omandamiste ning ostueesõiguste päevaraamatud";"http://xgis.maaamet.ee/VOOPRaamat/raamat";"Maa-amet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"MAA-032";"Kasutuse virtuaalkontori kaardirakendus";"http://xgis.maaamet.ee/xGIS/XGis?app_id=KASUTUS&bbox=354541,6244119.41545894,754541,6787114.58454106&LANG=1";"Maa-amet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"MAA-033";"Riigimaa kasutuse kaardirakendus";"http://xgis.maaamet.ee/xGIS/XGis?app_id=MA07&bbox=354541,6244119.41545894,754541,6787114.58454106&LANG=1";"Maa-amet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"MAA-029";"Riigimaade müügi kaardirakendus";"http://xgis.maaamet.ee/xGIS/XGis?app_id=MA09&user_id=at&bbox=354541,6335571.64852608,754541,6695662.35147392&LANG=1";"Maa-amet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
"MAA-034";"Ministeeriumite huvide kaardirakendus";"http://xgis.maaamet.ee/xGIS/XGis?app_id=MINHUVI&bbox=365000,6250471.01449275,740000,6759528.98550725&LANG=1";"Maa-amet";"Keskkonnaministeeriumi haldusala";"pole";"vigane viide kanalile"
