"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"TJA-051";"Ajatempliteenuse osutaja registreerimine";"http://www.tja.ee/digitaalallkiri/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-050";"Sertifitseerimisteenuse osutaja registreerimine";"http://www.tja.ee/digitaalallkiri/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-078";"Raudteerajatiste kirjaliku nõusoleku väljastamine";"http://www.tja.ee/kirjalik-nousolek";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-057";"Ohutusjuhtimise süsteemi kooskõlastamine ja kinnitamine";"http://www.tja.ee/maarused-3/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-058";"Ohutustunnistuste väljastamine";"http://www.tja.ee/ohutustunnistus/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-021";"Pürotehnilise toote käitlemise tegevusloa taotluse läbivaatamine";"https://emoodul.tja.ee/web/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-043";"Raadiosagedusloa muutmine";"Sagedusloa omanik esitab TJA-le  taotluse sagedusloa tingimuste muutmiseks.";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"pole";"vigane viide kanalile"
"TJA-051";"Ajatempliteenuse osutaja registreerimine";"http://www.tja.ee/digitaalallkiri/";"Tehnilise Järelevalve Amet";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Digitaalallkiri";"vigane viide regulatsioonile"
