"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"ıigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"RES-203";"Ehitusvaldkonna inspektori vastuvıtu broneerimine";"http://broneering.p‰‰steamet.ee/";"P‰‰steamet";"Siseministeeriumi haldusala";"pole";"vigane viide kanalile"
"RES-101";"Interaktiivne kodu tuleohutuse test";"https://www.kodutuleohutuks.ee/";"P‰‰steamet";"Siseministeeriumi haldusala";"pole";"vigane viide kanalile"
