"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"PRIA-006";"Noore põllumajandustootja toetuse taotlemine";"https://epria.pria.ee/epria";"Põllumajanduse Registrite ja Informatsiooni Amet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PRIA-095";"PRIA klientide võlgade/tagasinõuete  haldus";"https://epria.pria.ee/epria";"Põllumajanduse Registrite ja Informatsiooni Amet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"PRIA-021";"Loomade andmete vaatamine";"https://epria.pria.ee/epria";"Põllumajanduse Registrite ja Informatsiooni Amet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
