"teenused_id";"teenuse_nimi";"vigane_url";"asutus";"haldusala";"õigusakti_pealkiri (olemasolul)";"vea_kirjeldus"
"VET-010";"Majandustegevusteate/tegevusloa taotluse esitamine toidu ning toiduga kokkupuutuvate materjalide ja esemete käitlemise kohta";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"VET-005";"Majandustegevusteate esitamine sööda käitlemiseks";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"VET-004";"Veterinaararsti kutsetegevusloa taotlemine";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"VET-014";"Toidulisandi või eritoidu esmakordse turuleviimise teatise esitamine";"https://cas.agri.ee/epm-cas/login?service=https%3A%2F%2Fportaal.agri.ee%2Fepm-portal%2Fj_spring_cas_security_check";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"pole";"vigane viide kanalile"
"VET-015";"Elusloomade veoloa taotlemine";"http://eur-lex.europa.eu/legal-content/ET/TXT/PDF/?uri=CELEX:32005R0001&qid=1470637768136&from=en";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"Council Regulation (EC) No 1/2005 of 22 December 2004 on the protection of animals during transport and related operations and amending Directives 64/432/EEC and 93/119/EC and Regulation (EC) No 1255/97 ";"vigane viide regulatsioonile"
"VET-016";"Elusloomi vedava maanteesõiduki juhi või saatja pädevustunnistuse taotlemine";"http://eur-lex.europa.eu/legal-content/ET/TXT/PDF/?uri=CELEX:32005R0001&qid=1470637768136&from=en";"Veterinaar- ja Toiduamet";"Maaeluministeeriumi haldusala";"Council Regulation (EC) No 1/2005 of 22 December 2004 on the protection of animals during transport and related operations and amending Directives 64/432/EEC and 93/119/EC and Regulation (EC) No 1255/97 ";"vigane viide regulatsioonile"
